protein,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
P49914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137432510469738,0.0,0.0,0.0,0.0
Q96GA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137432510469738,0.0,0.0,0.0,0.0
Q9H078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012548576466238588,0.0,0.0,0.0,0.0
Q8TBP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005692022109112186,0.0,0.0,0.0,0.0
Q8N5G0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005692022109112186,0.0,0.0,0.0,0.0
Q02252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005692022109112186,0.0,0.0,0.0,0.0
O95571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005692022109112186,0.0,0.0,0.0,0.0
Q7Z695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005692022109112186,0.0,0.0,0.0,0.0
Q8WWR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005696964145808341,0.0,0.0,0.0,0.0
Q9BXK5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009323690373868728,0.0,0.0,0.0,0.0
Q9Y6J8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009323690373868728,0.0,0.0,0.0,0.0
Q8WXI4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
Q9BZJ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
Q9NPJ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
Q5RI15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
Q9NZB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
A8MXV4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
P49753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588610885326142,0.0,0.0,0.0,0.0
Q3ZCQ8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013452575085729494,0.0,0.0,0.0,0.0
O94903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016092482839995106,0.0,0.0,0.0,0.0
Q8N159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q7L3T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q4G0N4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q9BW92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q08AH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q8N442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q9Y6E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350895532503698,0.0,0.0,0.0,0.0
Q9H9P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012069040201942964,0.0,0.0,0.0,0.0
Q969P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007197149739222623,0.0,0.0,0.0,0.0
P35914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007197149739222623,0.0,0.0,0.0,0.0
P45954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007197149739222623,0.0,0.0,0.0,0.0
Q9NWS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011433631628063596,0.0,0.0,0.0,0.0
Q8IVS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008365315667453691,0.0,0.0,0.0,0.0
Q9NQZ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01263976564305726,0.0,0.0,0.0,0.0
Q5T160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01822907400755478,0.0,0.0,0.0,0.0
Q96LW4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01597390587070831,0.0,0.0,0.0,0.0
P40939,0.0,0.0,0.0,0.003924882476230657,0.0,0.0,0.0,0.0,0.0,0.0,0.015487815903244696,0.0,0.010405244129092116,0.012845964206650993,0.0932356331448813,0.006554557219778729,0.0,0.0,0.0
Q92947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077680912472617766,0.04028659231841681,0.0,0.0,0.0,0.0
P51649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053880460477406245,0.026978786579186426,0.0035991047262060884,0.0,0.0,0.0
O60220,0.004640854971146588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011703142992725549,0.010811872425972743,0.0,0.012311198078375477,0.1735408657498393,0.008827538086084392,0.013583447886872137,0.0,0.0
O95822,0.0,0.0,0.0,0.0,0.0,0.010623804082007856,0.0,0.0,0.0,0.0,0.003468859422614516,0.011434317745870498,0.007248875948000045,0.009398088173498078,0.08982765012389013,0.007651833030525962,0.0,0.0,0.0
Q8N0X4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013854013187708831,0.0,0.011394909048658195,0.08532246158797202,0.0,0.0,0.0,0.0
Q9NVS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02544203955859556,0.012038297689014805,0.0,0.0,0.0
P54819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003366333080796614,0.0,0.0,0.01562474058107025,0.0036333885516703006,0.0,0.0,0.0
Q9UJS0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003438582792529813,0.0,0.005690060396108621,0.0,0.0,0.0,0.005515460635312269
Q9UIJ7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006088362073842762,0.003364562329771673,0.0,0.0,0.011526353692447231,0.0,0.0,0.0,0.008840917673042563
P00505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014263732580208278,0.013335083954216969,0.006430015340046238,0.015829776336564717,0.02470295883763153,0.014549776468304841,0.003649163548241876,0.0,0.05290397364105949
P17152,0.0,0.0,0.0,0.0,0.0,0.011654959178238515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014383461663252488,0.012445159384796876,0.020139608325990432,0.0,0.0,0.0
Q7Z4W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01150181183818292,0.010846071577296015,0.01846631814164285,0.0,0.0,0.0
Q9H825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005444484243798983,0.0035869810066510156,0.01028110703331727,0.0,0.0,0.0
Q9HCL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013519433024591816,0.003421467937184569,0.013584621602610722,0.010283998916254741,0.0,0.0,0.0
Q9NRD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0049431093444123044,0.0,0.0,0.0,0.0,0.003348875985140203,0.012415902727917205,0.0034119130278129693,0.012473205759531595,0.020643618384448267,0.0,0.0,0.0
Q02338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003588461305451282,0.003638305148801,0.0,0.0,0.0
O75746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034368806467823337,0.005446197653723129,0.011467757567183864,0.010959177176940066,0.0,0.0,0.0
Q07021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038388072144025258,0.0,0.003439410309044951,0.0,0.0,0.005770767428203364,0.0,0.0,0.0
Q9BV79,0.0,0.0,0.004962917179980667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035869187013326522,0.007285492745786177,0.0,0.0,0.0
P49773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006064210746703537,0.0,0.0,0.0,0.003567519018724133,0.021898232132966336,0.0,0.005053709463880956,0.0
Q9HCC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00552624298429959,0.0,0.0,0.0,0.0,0.08971916760858342,0.0,0.0,0.0
O95721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011710194437885228,0.0,0.0,0.0
Q9NQ50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02096835425139515,0.0,0.0,0.0
O15270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00577133937146078,0.0,0.0,0.0
Q08AH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012731039441102628,0.0,0.0,0.0
Q9NWU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008483571130786521,0.0,0.0,0.0
Q9HD36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007288309291674834,0.0,0.0,0.0
Q86TW2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010282159412265528,0.0,0.0,0.0
Q9BYV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01159599032439763,0.0,0.0,0.0
Q9BUP0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057766687458494816,0.0,0.0,0.0
O75570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057766687458494816,0.0,0.0,0.0
Q9H2U2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057766687458494816,0.0,0.0,0.0
Q9H903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q8N3Z0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q8N8Q8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
P78537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q96GC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q8WUT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q9NRY6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
P10606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q9BRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q2M3C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
P31937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q86VU5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
P49189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003638447685923104,0.0,0.0,0.0
Q9UKU0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016648870336938758,0.0,0.0,0.0
Q9NTX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015668281775958755,0.0,0.0,0.0
P43304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034387955068450283,0.003433377755010655,0.0,0.010965283088914562,0.0,0.0,0.0
Q8TB37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034342231393103533,0.0,0.005771156545430198,0.0,0.0,0.0
Q8N5Z0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003430709297188677,0.0,0.01233055152447251,0.0,0.0,0.0
O75891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005443784817447169,0.0,0.013773946905129102,0.0,0.0,0.0
P00387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003433801321169767,0.0,0.009434281069001928,0.0,0.0,0.0
Q8IVH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003420656917562755,0.009288649618130309,0.019280564240822556,0.0,0.0,0.0
Q9UF12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003397603499167761,0.008277206426018436,0.02497348140184089,0.0,0.0,0.0
Q8N3J5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003393212770505919,0.007111706074453906,0.027648744051498985,0.0,0.0,0.0
O43272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005203123837589135,0.014760189718378716,0.051982092977736254,0.0,0.0,0.0
O15229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005275147863484786,0.0,0.008797746677166497,0.0035407828726908186,0.029284067329511814,0.0,0.0,0.0
Q13423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01671325163054389,0.01009243066887399,0.0,0.013692288333463112,0.017124198518372203,0.09514443270591012,0.0,0.0,0.0
Q8WUD6,0.0,0.0,0.0,0.003753897629213912,0.0,0.00864908909680137,0.0,0.0,0.0,0.0,0.010625520255250591,0.016773525591641383,0.005927292900515949,0.020127059580571545,0.026537307680062752,0.10660798424481896,0.0,0.0,0.0
Q14249,0.015381905264394162,0.0,0.0,0.009945910083722078,0.0,0.007663325873664893,0.004805760114962251,0.01731685291672257,0.0049893792010684244,0.007535175580255136,0.01205475174344355,0.013498589458267131,0.01176960114391478,0.017791515212699963,0.015002755546939497,0.01545001906863492,0.013196476136977777,0.0,0.01097325775888234
Q99798,0.0,0.0,0.0075410863880468575,0.0,0.005809181277946116,0.0,0.0,0.0,0.0,0.0,0.005799218314721256,0.019438901822847868,0.008540078302735324,0.01431170887696921,0.011008411124298371,0.012198918057750677,0.04196070077693004,0.0,0.010736760977346677
Q9NTG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148274939814159,0.01090817011776197,0.019963248273992533,0.010720003971538085,0.0,0.0216395475311564,0.0,0.0
P02794,0.0,0.0,0.0,0.0,0.0,0.0,0.003976747138736198,0.0,0.0,0.0,0.04078845293957183,0.04549575749230268,0.02242545293444112,0.046174015088860765,0.0178316714351303,0.0114131977646281,0.04153210317924156,0.0,0.03860705844410674
Q8N4E7,0.0,0.0,0.0,0.012755503092734249,0.0,0.0,0.00397104100616075,0.0,0.0,0.0,0.04100915621348904,0.04535043572250758,0.021916587616832642,0.04710916905896779,0.017060801132432246,0.01139682125958949,0.04168906925604887,0.0,0.038551662165151934
Q9UBX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038222121066940435,0.016172051985659564,0.005437764074440402,0.01325325563042883,0.00717301018961456,0.00574582048461309,0.006199726411652377,0.0,0.00881835523379318
O75027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014105568758876,0.0,0.006883375488476628,0.005691455058398822,0.0036346303183044334,0.006220985510309985,0.0,0.005511774468966072
Q9BT17,0.0,0.0,0.018947024062353168,0.0,0.0,0.0070717897754844425,0.0,0.0,0.0,0.0,0.013535531265320446,0.05502178089146525,0.012729688814809013,0.03624969413761076,0.023266185530093398,0.01922150176890059,0.0,0.015332191423131697,0.0
Q96PG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014709864849727874,0.003427276299275182,0.014298340076362498,0.013023889116860287,0.0,0.0039065512435092755,0.0,0.0
O14925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006749657701235389,0.0,0.005446086185933988,0.003588036411672816,0.0,0.0,0.0,0.0
Q9BPX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007839957353723058,0.0,0.005449313972212225,0.007186168809186205,0.0,0.0,0.0,0.0
P42126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022054649104050025,0.0,0.011408147163548495,0.0129637549925896,0.0,0.0,0.0,0.0
P10415,0.0,0.012729542666879614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03858072211575042,0.04693644672382654,0.025928504611446915,0.07859334589806634,0.036639694414220686,0.01956869169591524,0.003060248437185829,0.0,0.006865598759044003
